,reportdate,Protecting Office,Protecting Office Label,Acres
546,2025-06-26,Tongass N.F.,TNF,0.7
547,2025-06-26,Upper Yukon Zone,UYD,40610.4
548,2025-06-27,Chugach N.F.,CGF,1.2
549,2025-06-27,Copper River Area,CRS,5472.2
550,2025-06-27,Delta Area,DAS,21895.8
551,2025-06-27,Fairbanks Area,FAS,70765.9
552,2025-06-27,Galena Zone,GAD,39976.8
553,2025-06-27,Kenai-Kodiak Area,KKS,6.8
554,2025-06-27,Mat-Su Area,MSS,6.0
555,2025-06-27,Military Zone,MID,4422.5
556,2025-06-27,Southwest Area,SWS,35017.3
557,2025-06-27,Tanana Zone,TAD,50423.1
558,2025-06-27,Tok Area,TAS,46735.0
559,2025-06-27,Tongass N.F.,TNF,0.7
560,2025-06-27,Upper Yukon Zone,UYD,33491.1
561,2025-06-28,Chugach N.F.,CGF,1.2
562,2025-06-28,Copper River Area,CRS,6577.8
563,2025-06-28,Delta Area,DAS,23734.0
564,2025-06-28,Fairbanks Area,FAS,75451.7
565,2025-06-28,Galena Zone,GAD,39607.9
566,2025-06-28,Kenai-Kodiak Area,KKS,6.8
567,2025-06-28,Mat-Su Area,MSS,6.0
568,2025-06-28,Military Zone,MID,4425.6
569,2025-06-28,Southwest Area,SWS,35017.3
570,2025-06-28,Tanana Zone,TAD,52951.0
571,2025-06-28,Tok Area,TAS,50933.6
572,2025-06-28,Tongass N.F.,TNF,0.7
573,2025-06-28,Upper Yukon Zone,UYD,41541.8
574,2025-06-29,Chugach N.F.,CGF,1.2
575,2025-06-29,Copper River Area,CRS,6577.8
576,2025-06-29,Delta Area,DAS,23734.0
577,2025-06-29,Fairbanks Area,FAS,76524.3
578,2025-06-29,Galena Zone,GAD,39735.2
579,2025-06-29,Kenai-Kodiak Area,KKS,6.8
580,2025-06-29,Mat-Su Area,MSS,6.0
581,2025-06-29,Military Zone,MID,4425.6
582,2025-06-29,Southwest Area,SWS,35017.3
583,2025-06-29,Tanana Zone,TAD,58467.1
584,2025-06-29,Tok Area,TAS,50933.8
585,2025-06-29,Tongass N.F.,TNF,0.7
586,2025-06-29,Upper Yukon Zone,UYD,45218.8
587,2025-06-30,Chugach N.F.,CGF,1.2
588,2025-06-30,Copper River Area,CRS,6658.0
589,2025-06-30,Delta Area,DAS,23678.0
590,2025-06-30,Fairbanks Area,FAS,76617.8
591,2025-06-30,Galena Zone,GAD,40429.7
592,2025-06-30,Kenai-Kodiak Area,KKS,6.8
593,2025-06-30,Mat-Su Area,MSS,6.2
594,2025-06-30,Military Zone,MID,4425.6
595,2025-06-30,Southwest Area,SWS,37200.6
596,2025-06-30,Tanana Zone,TAD,59122.2
597,2025-06-30,Tok Area,TAS,51000.8
598,2025-06-30,Tongass N.F.,TNF,0.7
599,2025-06-30,Upper Yukon Zone,UYD,46433.8
600,2025-07-01,Chugach N.F.,CGF,1.2
601,2025-07-01,Copper River Area,CRS,6658.0
602,2025-07-01,Delta Area,DAS,23678.0
603,2025-07-01,Fairbanks Area,FAS,78289.1
604,2025-07-01,Galena Zone,GAD,40542.0
605,2025-07-01,Kenai-Kodiak Area,KKS,6.8
606,2025-07-01,Mat-Su Area,MSS,6.2
607,2025-07-01,Military Zone,MID,5112.9
608,2025-07-01,Southwest Area,SWS,37053.6
609,2025-07-01,Tanana Zone,TAD,58742.5
610,2025-07-01,Tok Area,TAS,51000.8
611,2025-07-01,Tongass N.F.,TNF,0.7
612,2025-07-01,Upper Yukon Zone,UYD,46926.6
613,2025-07-02,Chugach N.F.,CGF,1.2
614,2025-07-02,Copper River Area,CRS,6658.0
615,2025-07-02,Delta Area,DAS,22905.1
616,2025-07-02,Fairbanks Area,FAS,81216.8
617,2025-07-02,Galena Zone,GAD,40712.9
618,2025-07-02,Kenai-Kodiak Area,KKS,6.8
619,2025-07-02,Mat-Su Area,MSS,6.2
620,2025-07-02,Military Zone,MID,5584.9
621,2025-07-02,Southwest Area,SWS,39763.0
622,2025-07-02,Tanana Zone,TAD,59527.0
623,2025-07-02,Tok Area,TAS,51129.0
624,2025-07-02,Tongass N.F.,TNF,0.7
625,2025-07-02,Upper Yukon Zone,UYD,47129.6
626,2025-07-03,Chugach N.F.,CGF,1.2
627,2025-07-03,Copper River Area,CRS,6639.5
628,2025-07-03,Delta Area,DAS,22905.2
629,2025-07-03,Fairbanks Area,FAS,97167.8
630,2025-07-03,Galena Zone,GAD,44942.1
631,2025-07-03,Kenai-Kodiak Area,KKS,6.8
632,2025-07-03,Mat-Su Area,MSS,6.2
633,2025-07-03,Military Zone,MID,5584.9
634,2025-07-03,Southwest Area,SWS,40014.2
635,2025-07-03,Tanana Zone,TAD,59555.0
636,2025-07-03,Tok Area,TAS,51129.0
637,2025-07-03,Tongass N.F.,TNF,0.8
638,2025-07-03,Upper Yukon Zone,UYD,47229.7
639,2025-07-04,Chugach N.F.,CGF,1.2
640,2025-07-04,Copper River Area,CRS,6679.1
641,2025-07-04,Delta Area,DAS,23556.1
642,2025-07-04,Fairbanks Area,FAS,115839.6
643,2025-07-04,Galena Zone,GAD,46546.1
644,2025-07-04,Kenai-Kodiak Area,KKS,14.7
645,2025-07-04,Mat-Su Area,MSS,6.5
646,2025-07-04,Military Zone,MID,10628.9
647,2025-07-04,Southwest Area,SWS,40034.2
648,2025-07-04,Tanana Zone,TAD,63798.4
649,2025-07-04,Tok Area,TAS,51129.0
650,2025-07-04,Tongass N.F.,TNF,0.8
651,2025-07-04,Upper Yukon Zone,UYD,51931.7
652,2025-07-05,Chugach N.F.,CGF,1.3
653,2025-07-05,Copper River Area,CRS,6679.1
654,2025-07-05,Delta Area,DAS,23556.1
655,2025-07-05,Fairbanks Area,FAS,129356.0
656,2025-07-05,Galena Zone,GAD,54573.5
657,2025-07-05,Kenai-Kodiak Area,KKS,14.8
658,2025-07-05,Mat-Su Area,MSS,7.0
659,2025-07-05,Military Zone,MID,10628.9
660,2025-07-05,Southwest Area,SWS,40034.2
661,2025-07-05,Tanana Zone,TAD,64736.5
662,2025-07-05,Tok Area,TAS,51246.9
663,2025-07-05,Tongass N.F.,TNF,0.8
664,2025-07-05,Upper Yukon Zone,UYD,57887.8
665,2025-07-06,Chugach N.F.,CGF,1.3
666,2025-07-06,Copper River Area,CRS,6679.1
667,2025-07-06,Delta Area,DAS,24899.8
668,2025-07-06,Fairbanks Area,FAS,169824.4
669,2025-07-06,Galena Zone,GAD,60039.5
670,2025-07-06,Kenai-Kodiak Area,KKS,15.0
671,2025-07-06,Mat-Su Area,MSS,7.1
672,2025-07-06,Military Zone,MID,15771.9
673,2025-07-06,Southwest Area,SWS,40034.2
674,2025-07-06,Tanana Zone,TAD,71276.4
675,2025-07-06,Tok Area,TAS,51444.4
676,2025-07-06,Tongass N.F.,TNF,0.8
677,2025-07-06,Upper Yukon Zone,UYD,76445.8
678,2025-07-08,Chugach N.F.,CGF,1.3
679,2025-07-08,Copper River Area,CRS,6679.1
680,2025-07-08,Delta Area,DAS,30297.8
681,2025-07-08,Fairbanks Area,FAS,189910.4
682,2025-07-08,Galena Zone,GAD,70885.6
683,2025-07-08,Kenai-Kodiak Area,KKS,15.0
684,2025-07-08,Mat-Su Area,MSS,7.1
685,2025-07-08,Military Zone,MID,15771.9
686,2025-07-08,Southwest Area,SWS,40034.2
687,2025-07-08,Tanana Zone,TAD,82844.0
688,2025-07-08,Tok Area,TAS,52498.4
689,2025-07-08,Tongass N.F.,TNF,0.8
690,2025-07-08,Upper Yukon Zone,UYD,100122.6
691,2025-07-10,Chugach N.F.,CGF,1.4
692,2025-07-10,Copper River Area,CRS,6679.1
693,2025-07-10,Delta Area,DAS,29770.8
694,2025-07-10,Fairbanks Area,FAS,190747.3
695,2025-07-10,Galena Zone,GAD,103245.5
696,2025-07-10,Kenai-Kodiak Area,KKS,15.3
697,2025-07-10,Mat-Su Area,MSS,8.6
698,2025-07-10,Military Zone,MID,16060.8
699,2025-07-10,Southwest Area,SWS,40148.2
700,2025-07-10,Tanana Zone,TAD,119614.6
701,2025-07-10,Tok Area,TAS,52632.0
702,2025-07-10,Tongass N.F.,TNF,0.8
703,2025-07-10,Upper Yukon Zone,UYD,117280.1
704,2025-07-11,Chugach N.F.,CGF,1.4
705,2025-07-11,Copper River Area,CRS,6679.1
706,2025-07-11,Delta Area,DAS,29770.8
707,2025-07-11,Fairbanks Area,FAS,192015.3
708,2025-07-11,Galena Zone,GAD,110967.2
709,2025-07-11,Kenai-Kodiak Area,KKS,15.0
710,2025-07-11,Mat-Su Area,MSS,8.7
711,2025-07-11,Military Zone,MID,16060.8
712,2025-07-11,Southwest Area,SWS,40148.2
713,2025-07-11,Tanana Zone,TAD,120357.5
714,2025-07-11,Tok Area,TAS,52715.5
715,2025-07-11,Tongass N.F.,TNF,0.8
716,2025-07-11,Upper Yukon Zone,UYD,132778.4
717,2025-07-12,Chugach N.F.,CGF,1.4
718,2025-07-12,Copper River Area,CRS,6679.1
719,2025-07-12,Delta Area,DAS,29996.2
720,2025-07-12,Fairbanks Area,FAS,190501.5
721,2025-07-12,Galena Zone,GAD,116014.3
722,2025-07-12,Kenai-Kodiak Area,KKS,15.1
723,2025-07-12,Mat-Su Area,MSS,8.7
724,2025-07-12,Military Zone,MID,16060.8
725,2025-07-12,Southwest Area,SWS,40148.2
726,2025-07-12,Tanana Zone,TAD,137373.5
727,2025-07-12,Tok Area,TAS,52715.0
728,2025-07-12,Tongass N.F.,TNF,0.8
729,2025-07-12,Upper Yukon Zone,UYD,148015.0
730,2025-07-13,Chugach N.F.,CGF,1.4
731,2025-07-13,Copper River Area,CRS,6679.4
732,2025-07-13,Delta Area,DAS,29996.2
733,2025-07-13,Fairbanks Area,FAS,191391.9
734,2025-07-13,Galena Zone,GAD,144794.4
735,2025-07-13,Kenai-Kodiak Area,KKS,15.1
736,2025-07-13,Mat-Su Area,MSS,8.8
737,2025-07-13,Military Zone,MID,16060.8
738,2025-07-13,Southwest Area,SWS,40148.2
739,2025-07-13,Tanana Zone,TAD,164905.7
740,2025-07-13,Tok Area,TAS,52715.0
741,2025-07-13,Tongass N.F.,TNF,0.8
742,2025-07-13,Upper Yukon Zone,UYD,151016.4
743,2025-07-14,Chugach N.F.,CGF,1.4
744,2025-07-14,Copper River Area,CRS,6679.4
745,2025-07-14,Delta Area,DAS,29996.3
746,2025-07-14,Fairbanks Area,FAS,190730.7
747,2025-07-14,Galena Zone,GAD,177423.2
748,2025-07-14,Kenai-Kodiak Area,KKS,15.1
749,2025-07-14,Mat-Su Area,MSS,8.8
750,2025-07-14,Military Zone,MID,16060.9
751,2025-07-14,Southwest Area,SWS,40148.2
752,2025-07-14,Tanana Zone,TAD,179224.7
753,2025-07-14,Tok Area,TAS,52762.4
754,2025-07-14,Tongass N.F.,TNF,0.8
755,2025-07-14,Upper Yukon Zone,UYD,152497.5
756,2025-07-15,Chugach N.F.,CGF,1.4
757,2025-07-15,Copper River Area,CRS,6679.4
758,2025-07-15,Delta Area,DAS,29996.3
759,2025-07-15,Fairbanks Area,FAS,190731.9
760,2025-07-15,Galena Zone,GAD,179655.9
761,2025-07-15,Kenai-Kodiak Area,KKS,15.1
762,2025-07-15,Mat-Su Area,MSS,8.9
763,2025-07-15,Military Zone,MID,16060.9
764,2025-07-15,Southwest Area,SWS,40148.2
765,2025-07-15,Tanana Zone,TAD,202730.7
766,2025-07-15,Tok Area,TAS,52756.0
767,2025-07-15,Tongass N.F.,TNF,0.8
768,2025-07-15,Upper Yukon Zone,UYD,152606.4
769,2025-07-16,Chugach N.F.,CGF,1.4
770,2025-07-16,Copper River Area,CRS,6679.4
771,2025-07-16,Delta Area,DAS,30209.4
772,2025-07-16,Fairbanks Area,FAS,190757.2
773,2025-07-16,Galena Zone,GAD,178030.1
774,2025-07-16,Kenai-Kodiak Area,KKS,15.1
775,2025-07-16,Mat-Su Area,MSS,8.9
776,2025-07-16,Military Zone,MID,16060.9
777,2025-07-16,Southwest Area,SWS,40148.2
778,2025-07-16,Tanana Zone,TAD,200383.1
779,2025-07-16,Tok Area,TAS,52756.1
780,2025-07-16,Tongass N.F.,TNF,0.8
781,2025-07-16,Upper Yukon Zone,UYD,155778.6
782,2025-07-17,Chugach N.F.,CGF,1.4
783,2025-07-17,Copper River Area,CRS,6679.4
784,2025-07-17,Delta Area,DAS,30242.2
785,2025-07-17,Fairbanks Area,FAS,190761.6
786,2025-07-17,Galena Zone,GAD,186717.9
787,2025-07-17,Kenai-Kodiak Area,KKS,15.1
788,2025-07-17,Mat-Su Area,MSS,10.0
789,2025-07-17,Military Zone,MID,16060.9
790,2025-07-17,Southwest Area,SWS,40207.1
791,2025-07-17,Tanana Zone,TAD,203478.7
792,2025-07-17,Tok Area,TAS,52824.7
793,2025-07-17,Tongass N.F.,TNF,0.8
794,2025-07-17,Upper Yukon Zone,UYD,155912.4
795,2025-07-18,Chugach N.F.,CGF,1.4
796,2025-07-18,Copper River Area,CRS,6679.4
797,2025-07-18,Delta Area,DAS,30242.2
798,2025-07-18,Fairbanks Area,FAS,190776.8
799,2025-07-18,Galena Zone,GAD,186717.9
800,2025-07-18,Kenai-Kodiak Area,KKS,15.1
801,2025-07-18,Mat-Su Area,MSS,10.0
802,2025-07-18,Military Zone,MID,16060.9
803,2025-07-18,Southwest Area,SWS,40207.1
804,2025-07-18,Tanana Zone,TAD,203924.5
805,2025-07-18,Tok Area,TAS,53412.6
806,2025-07-18,Tongass N.F.,TNF,0.8
807,2025-07-18,Upper Yukon Zone,UYD,157545.1
808,2025-07-19,Chugach N.F.,CGF,1.4
809,2025-07-19,Copper River Area,CRS,6679.4
810,2025-07-19,Delta Area,DAS,30335.7
811,2025-07-19,Fairbanks Area,FAS,192896.7
812,2025-07-19,Galena Zone,GAD,188355.4
813,2025-07-19,Kenai-Kodiak Area,KKS,15.1
814,2025-07-19,Mat-Su Area,MSS,10.1
815,2025-07-19,Military Zone,MID,16127.9
816,2025-07-19,Southwest Area,SWS,40207.1
817,2025-07-19,Tanana Zone,TAD,208024.5
818,2025-07-19,Tok Area,TAS,53507.3
819,2025-07-19,Tongass N.F.,TNF,0.8
820,2025-07-19,Upper Yukon Zone,UYD,159924.5
821,2025-07-20,Chugach N.F.,CGF,1.4
822,2025-07-20,Copper River Area,CRS,6679.4
823,2025-07-20,Delta Area,DAS,30335.7
824,2025-07-20,Fairbanks Area,FAS,191960.7
825,2025-07-20,Galena Zone,GAD,197453.1
826,2025-07-20,Kenai-Kodiak Area,KKS,15.1
827,2025-07-20,Mat-Su Area,MSS,10.1
828,2025-07-20,Military Zone,MID,16127.9
829,2025-07-20,Southwest Area,SWS,40207.1
830,2025-07-20,Tanana Zone,TAD,205138.5
831,2025-07-20,Tok Area,TAS,53530.6
832,2025-07-20,Tongass N.F.,TNF,0.8
833,2025-07-20,Upper Yukon Zone,UYD,161381.3
834,2025-07-21,Chugach N.F.,CGF,1.4
835,2025-07-21,Copper River Area,CRS,6679.4
836,2025-07-21,Delta Area,DAS,30335.5
837,2025-07-21,Fairbanks Area,FAS,191967.4
838,2025-07-21,Galena Zone,GAD,197453.1
839,2025-07-21,Kenai-Kodiak Area,KKS,15.1
840,2025-07-21,Mat-Su Area,MSS,10.1
841,2025-07-21,Military Zone,MID,16127.9
842,2025-07-21,Southwest Area,SWS,40207.1
843,2025-07-21,Tanana Zone,TAD,205138.4
844,2025-07-21,Tok Area,TAS,53488.2
845,2025-07-21,Tongass N.F.,TNF,0.9
846,2025-07-21,Upper Yukon Zone,UYD,170615.0
847,2025-07-22,Chugach N.F.,CGF,1.4
848,2025-07-22,Copper River Area,CRS,6679.4
849,2025-07-22,Delta Area,DAS,30335.5
850,2025-07-22,Fairbanks Area,FAS,191946.1
851,2025-07-22,Galena Zone,GAD,197453.3
852,2025-07-22,Kenai-Kodiak Area,KKS,15.1
853,2025-07-22,Mat-Su Area,MSS,10.1
854,2025-07-22,Military Zone,MID,16127.9
855,2025-07-22,Southwest Area,SWS,40207.1
856,2025-07-22,Tanana Zone,TAD,250514.3
857,2025-07-22,Tok Area,TAS,53530.7
858,2025-07-22,Tongass N.F.,TNF,0.9
859,2025-07-22,Upper Yukon Zone,UYD,170816.3
860,2025-07-23,Chugach N.F.,CGF,1.4
861,2025-07-23,Copper River Area,CRS,6679.4
862,2025-07-23,Delta Area,DAS,30335.5
863,2025-07-23,Fairbanks Area,FAS,192509.3
864,2025-07-23,Galena Zone,GAD,197453.3
865,2025-07-23,Kenai-Kodiak Area,KKS,15.2
866,2025-07-23,Mat-Su Area,MSS,10.1
867,2025-07-23,Military Zone,MID,16127.9
868,2025-07-23,Southwest Area,SWS,40207.1
869,2025-07-23,Tanana Zone,TAD,250514.3
870,2025-07-23,Tok Area,TAS,53530.7
871,2025-07-23,Tongass N.F.,TNF,0.9
872,2025-07-23,Upper Yukon Zone,UYD,170977.3
873,2025-07-24,Chugach N.F.,CGF,1.4
874,2025-07-24,Copper River Area,CRS,6679.4
875,2025-07-24,Delta Area,DAS,30335.5
876,2025-07-24,Fairbanks Area,FAS,192236.6
877,2025-07-24,Galena Zone,GAD,197453.2
878,2025-07-24,Kenai-Kodiak Area,KKS,15.2
879,2025-07-24,Mat-Su Area,MSS,12.2
880,2025-07-24,Military Zone,MID,16060.9
881,2025-07-24,Southwest Area,SWS,40207.1
882,2025-07-24,Tanana Zone,TAD,250514.3
883,2025-07-24,Tok Area,TAS,53530.7
884,2025-07-24,Tongass N.F.,TNF,0.9
885,2025-07-24,Upper Yukon Zone,UYD,171805.2
