Year,Month,Day,ProtectionUnit,TotalFires,Acres,reportdate
2004,6,12,KKS,28.0,10.7,2004-06-12
2004,6,12,MSS,42.0,50.4,2004-06-12
2004,6,12,TAS,2.0,0.2,2004-06-12
2004,6,12,CGF,2.0,0.2,2004-06-12
2004,6,12,SWS,2.0,130.0,2004-06-12
2004,6,13,GAD,33.0,11642.7,2004-06-13
2004,6,13,MID,2.0,1.1,2004-06-13
2004,6,13,TAD,14.0,1519.1,2004-06-13
2004,6,13,UYD,6.0,9170.7,2004-06-13
2004,6,13,CRS,4.0,77.3,2004-06-13
2004,6,13,DAS,7.0,18.7,2004-06-13
2004,6,13,FAS,32.0,8.4,2004-06-13
2004,6,13,HNS,2.0,0.2,2004-06-13
2004,6,13,KKS,28.0,10.7,2004-06-13
2004,6,13,MSS,43.0,50.5,2004-06-13
2004,6,13,TAS,3.0,0.3,2004-06-13
2004,6,13,CGF,2.0,0.2,2004-06-13
2004,6,13,SWS,3.0,130.0,2004-06-13
2004,6,14,GAD,42.0,11853.7,2004-06-14
2004,6,14,MID,2.0,1.1,2004-06-14
2004,6,14,TAD,15.0,2181.1,2004-06-14
2004,6,14,UYD,7.0,9372.7,2004-06-14
2004,6,14,CRS,4.0,77.3,2004-06-14
2004,6,14,DAS,7.0,18.7,2004-06-14
2004,6,14,FAS,33.0,28.4,2004-06-14
2004,6,14,HNS,2.0,0.2,2004-06-14
2004,6,14,KKS,28.0,10.7,2004-06-14
2004,6,14,MSS,46.0,50.6,2004-06-14
2004,6,14,TAS,3.0,0.3,2004-06-14
2004,6,14,CGF,2.0,0.2,2004-06-14
2004,6,14,SWS,3.0,131.0,2004-06-14
2004,6,15,GAD,50.0,12236.3,2004-06-15
2004,6,15,MID,4.0,6.2,2004-06-15
2004,6,15,TAD,19.0,3004.6,2004-06-15
2004,6,15,UYD,23.0,9631.9,2004-06-15
2004,6,15,CRS,5.0,77.4,2004-06-15
2004,6,15,DAS,7.0,18.7,2004-06-15
2004,6,15,FAS,33.0,158.4,2004-06-15
2004,6,15,HNS,3.0,0.3,2004-06-15
2004,6,15,KKS,28.0,10.7,2004-06-15
2004,6,15,MSS,47.0,50.8,2004-06-15
2004,6,15,TAS,3.0,0.3,2004-06-15
2004,6,15,CGF,2.0,0.2,2004-06-15
2004,6,15,SWS,4.0,147.0,2004-06-15
2004,6,16,GAD,53.0,12666.2,2004-06-16
2004,6,16,MID,6.0,51.6,2004-06-16
2004,6,16,TAD,23.0,3165.1,2004-06-16
2004,6,16,UYD,25.0,12817.9,2004-06-16
2004,6,16,CRS,5.0,77.4,2004-06-16
2004,6,16,DAS,7.0,18.7,2004-06-16
2004,6,16,FAS,34.0,448.4,2004-06-16
2004,6,16,HNS,3.0,0.3,2004-06-16
2004,6,16,KKS,28.0,10.7,2004-06-16
2004,6,16,MSS,48.0,50.8,2004-06-16
2004,6,16,TAS,6.0,200.3,2004-06-16
2004,6,16,CGF,2.0,0.2,2004-06-16
2004,6,16,SWS,4.0,147.0,2004-06-16
2004,6,17,GAD,53.0,12753.2,2004-06-17
2004,6,17,MID,6.0,1151.5,2004-06-17
2004,6,17,TAD,23.0,4058.6,2004-06-17
2004,6,17,UYD,29.0,22279.4,2004-06-17
2004,6,17,CRS,5.0,77.4,2004-06-17
2004,6,17,DAS,8.0,28.7,2004-06-17
2004,6,17,FAS,35.0,700.4,2004-06-17
2004,6,17,HNS,3.0,0.3,2004-06-17
2004,6,17,KKS,28.0,10.7,2004-06-17
2004,6,17,MSS,49.0,51.1,2004-06-17
2004,6,17,TAS,6.0,1156.3,2004-06-17
2004,6,17,CGF,2.0,0.2,2004-06-17
2004,6,17,SWS,4.0,147.0,2004-06-17
2004,6,18,GAD,53.0,14022.8,2004-06-18
2004,6,18,MID,7.0,2402.5,2004-06-18
2004,6,18,TAD,23.0,4058.6,2004-06-18
2004,6,18,UYD,32.0,27705.4,2004-06-18
2004,6,18,CRS,6.0,77.5,2004-06-18
2004,6,18,DAS,8.0,28.7,2004-06-18
2004,6,18,FAS,35.0,700.4,2004-06-18
2004,6,18,HNS,3.0,1.2,2004-06-18
2004,6,18,KKS,28.0,10.7,2004-06-18
2004,6,18,MSS,50.0,51.4,2004-06-18
2004,6,18,TAS,7.0,4676.3,2004-06-18
2004,6,18,CGF,4.0,0.4,2004-06-18
2004,6,18,SWS,4.0,147.0,2004-06-18
2004,6,19,GAD,53.0,14022.8,2004-06-19
2004,6,19,MID,7.0,2627.5,2004-06-19
2004,6,19,TAD,23.0,4358.6,2004-06-19
2004,6,19,UYD,34.0,63367.3,2004-06-19
2004,6,19,CRS,6.0,77.5,2004-06-19
2004,6,19,DAS,8.0,28.7,2004-06-19
2004,6,19,FAS,35.0,2050.4,2004-06-19
2004,6,19,HNS,3.0,1.2,2004-06-19
2004,6,19,KKS,28.0,10.7,2004-06-19
2004,6,19,MSS,50.0,51.4,2004-06-19
2004,6,19,TAS,8.0,5091.3,2004-06-19
2004,6,19,CGF,4.0,0.4,2004-06-19
2004,6,19,SWS,4.0,147.0,2004-06-19
2004,6,20,GAD,53.0,14297.8,2004-06-20
2004,6,20,MID,7.0,3202.5,2004-06-20
2004,6,20,TAD,23.0,4358.6,2004-06-20
2004,6,20,UYD,34.0,86698.2,2004-06-20
2004,6,20,CRS,6.0,77.5,2004-06-20
2004,6,20,DAS,8.0,28.7,2004-06-20
2004,6,20,FAS,35.0,4050.4,2004-06-20
2004,6,20,HNS,3.0,1.2,2004-06-20
2004,6,20,KKS,28.0,10.7,2004-06-20
2004,6,20,MSS,52.0,51.6,2004-06-20
2004,6,20,TAS,8.0,9691.3,2004-06-20
2004,6,20,CGF,4.0,0.4,2004-06-20
2004,6,20,SWS,4.0,155.0,2004-06-20
2004,6,21,GAD,55.0,14298.2,2004-06-21
2004,6,21,MID,7.0,3202.5,2004-06-21
2004,6,21,TAD,23.0,4408.6,2004-06-21
2004,6,21,UYD,35.0,106072.2,2004-06-21
2004,6,21,CRS,6.0,77.5,2004-06-21
2004,6,21,DAS,8.0,28.7,2004-06-21
2004,6,21,FAS,36.0,6250.5,2004-06-21
2004,6,21,HNS,3.0,1.2,2004-06-21
2004,6,21,KKS,30.0,11.0,2004-06-21
2004,6,21,MSS,57.0,53.4,2004-06-21
2004,6,21,TAS,9.0,9739.3,2004-06-21
2004,6,21,CGF,5.0,0.5,2004-06-21
2004,6,21,SWS,4.0,155.0,2004-06-21
2004,6,22,GAD,55.0,14691.9,2004-06-22
2004,6,22,MID,7.0,3202.5,2004-06-22
2004,6,22,TAD,23.0,4408.6,2004-06-22
2004,6,22,UYD,37.0,124923.2,2004-06-22
2004,6,22,CRS,6.0,77.5,2004-06-22
2004,6,22,DAS,9.0,28.8,2004-06-22
